KEY,简体中文,English
该功能已启用密码保护，请输入密码进入，如需取消，请到设置面板进行设置,该功能已启用密码保护，请输入密码进入，如需取消，请到设置面板进行设置,This function protected by password
请填写完所有项目,请填写完所有项目,Some inputs is empty
旧密码输入错误,旧密码输入错误,Old password error
新密码少于6位,新密码少于6位,New password too short,
新密码和确认密码不一致,新密码和确认密码不一致,Password confirm error,
数据清除成功,数据清除成功,All datas cleared
恭喜您获取管理员权限,恭喜您获取管理员权限,You got administrator rights
密码重置成功，初始密码000000,密码重置成功，初始密码000000,Password reset to 000000,
点击上面的按钮启动单个货道出货,点击上面的按钮启动单个货道出货,Click a button to test single channel,
硬件通信异常，请检查串口设备,硬件通信异常，请检查串口设备,Hardware not connect,
自动测试,自动测试,Auto test,
货道测试已停止,货道测试已停止,Test stoped,
停止测试,停止测试,Stop,
货道测试开始,货道测试开始,Start Testing,
货道测试全部完成,货道测试全部完成,Testing completed,
货道,货道, Channel ,
正在出货,正在出货, Testing ,
未使用,未使用, Not used ,
正常,正常, Ok ,
异常,异常, Error ,
机器号少于8位,机器号少于8位,Machine number's length must 8,
初始密码少于6位,初始密码少于6位,Password number's length must 6,
机台号不能为0,机台号不能为0,Machine number not allow 0,
初始化成功,初始化成功,Initialize OK,
获取秘钥失败，请确保网络连接畅通，并且后台服务器已启动,获取秘钥失败，请确保网络连接畅通，并且后台服务器已启动,Get API key failed，Must connect to internet,
获取秘钥失败,获取秘钥失败,Get API key failed ,
服务器拒绝登录，请联系管理员,服务器拒绝登录，请联系管理员,Server access denied，contact to supplier,
当前网络状况不佳，请联系管理员,当前网络状况不佳，请联系管理员,Network is not stable,
当前网络状况不佳，正在努力加载中,当前网络状况不佳，正在努力加载中,Network is not connect，auto retry,
收不到服务器回应，请重新下单,收不到服务器回应，请重新下单,Server has no response，retry later,
服务器强制踢掉线，错误码 = ,服务器强制踢掉线，错误码 = ,Server refuse，Error code = ,
机台初始化,机台初始化,Initialize,
机台号:,机台号:,Machine:,
初始密码:,初始密码:,Password:,
输入8位机台号,输入8位机台号,Input 8 Machine NO.,
输入6位密码,输入6位密码,Input 6 Password,
自动填写,自动填写,Auto fill,
请输入6位管理员密码,请输入6位管理员密码,Enter password,
重输,重输,Clear,
删除,删除,Delete,
选择功能,选择功能,Functions,
打开桌面,打开桌面,OpenDesktop,
恢复出厂设置,恢复出厂设置,FactoryReset,
设置面板,设置面板,Setting,
补货面板,补货面板,Replenish,
硬件测试,硬件测试,HardwareTest,
本地测试网页,本地测试网页,LocalWeb,
退出程序,退出程序,ApplicationQuit,
旧密码:,旧密码:,Old,
新密码:,新密码:,New,
密码确认:,密码确认:,Confirm,
确认修改,确认修改,OK,
请输入打码器生成的8位密码,请输入打码器生成的8位密码,Password,
机器号：,机器号：,Machine,
出货数：,出货数：,OutTotal,
打码数：,打码数：,CodeTotal,
校验码：,校验码：,CheckCode,
颜色复位,颜色复位,ResetColor,
待机音乐,待机音乐,Background,
进入“硬件测试”需要密码,进入“硬件测试”需要密码,Protect Hardware test with password,
输入6位新密码,输入6位新密码,Input new password,
再次输入新密码,再次输入新密码,Repeat new password,
投币脉冲转换:,投币脉冲转换:,Coin to point:,
脉冲,脉冲,Coin,
计数,计数,Point,
一键补货,一键补货,Replenish,
正在向服务器请求补货,正在向服务器请求补货,Replenishmenting,
请求超时，请检查网络后重试,请求超时，请检查网络后重试,Replenishment timeout，try later,
补货成功,补货成功,Replenish success,
补货失败，错误码：,补货失败，错误码：,Replenish failed，code：,
